qid, Len, Den, P31, P2561, P8260, P1071, P729
,"JOHN H. IRVIN","Steam Trawler built in Aberdeen in 1909",Q11446,"JOHN H. IRVIN",101185,Q36405,1909
,"JOHN H. IRVIN","Steam Trawler built in Aberdeen in 1913",Q11446,"JOHN H. IRVIN",101259,Q36405,1913
,"JOHN HECTOR","Brig built in Aberdeen in 1840",Q11446,"JOHN HECTOR",99511,Q36405,1840
,"JOHN HIGH","Trawler built in Aberdeen in 1916",Q11446,"JOHN HIGH",100427,Q36405,1916
,"JOHN INNES","Hermaphrodite built in Aberdeen in 1840",Q11446,"JOHN INNES",99510,Q36405,1840
,"JOHN KNOX","Clipper built in Aberdeen in 1852",Q11446,"JOHN KNOX",99369,Q36405,1852
,"JOHN LEES","Brigantine built in Aberdeen in 1831",Q11446,"JOHN LEES",99481,Q36405,1831
,"JOHN NUTTEN","Steam Trawler built in Aberdeen in 1898",Q11446,"JOHN NUTTEN",101002,Q36405,1898
,"JOHN PIRIE","Schooner built in Aberdeen in 1827",Q11446,"JOHN PIRIE",99972,Q36405,1827
,"JOHN ROBERT","Drifter built in Aberdeen in 1912",Q11446,"JOHN ROBERT",99835,Q36405,1912
,"JOHN S. BOYLE","Steam Trawler built in Aberdeen in 1898",Q11446,"JOHN S. BOYLE",101007,Q36405,1898
,"JOHN T. GRAHAM","Steam Trawler built in Aberdeen in 1912",Q11446,"JOHN T. GRAHAM",101232,Q36405,1912
,"JOHN TAYLOR","Ship built in Aberdeen in 1851",Q11446,"JOHN TAYLOR",100097,Q36405,1851
,"JOHN WALKER","Smack built in Aberdeen in 1873",Q11446,"JOHN WALKER",100198,Q36405,1873
,"JOHN WESLEY","Schooner built in Aberdeen in 1867",Q11446,"JOHN WESLEY",100172,Q36405,1867
,"JOHN WILLIAMS","Barque built in Aberdeen in 1865",Q11446,"JOHN WILLIAMS",100164,Q36405,1865
,"JOLLY BATCHELOR","Brig built in Aberdeen in 1813",Q11446,"JOLLY BATCHELOR",113489,Q36405,1813
,"JOLLY DAYS","Cargo built in Aberdeen in 1935",Q11446,"JOLLY DAYS",99113,Q36405,1935
,"JOLLY NIGHTS","Cargo built in Aberdeen in 1935",Q11446,"JOLLY NIGHTS",99112,Q36405,1935
,"JONATHAN BAZINO","Steam Trawler built in Aberdeen in 1919",Q11446,"JONATHAN BAZINO",101391,Q36405,1919
,"JONES","Tug built in Aberdeen in 1934",Q11446,"JONES",100568,Q36405,1934
,"JOSEPH","Smack built in Aberdeen in 1836",Q11446,"JOSEPH",99997,Q36405,1836
,"JOSEPH ANNISON","Trawler built in Aberdeen in 1917",Q11446,"JOSEPH ANNISON",99887,Q36405,1917
,"JOSEPH BURGIN","Steam Trawler built in Aberdeen in 1918",Q11446,"JOSEPH BURGIN",101363,Q36405,1918
,"JOSEPH DUHAMEL","Steam Trawler built in Aberdeen in 1929",Q11446,"JOSEPH DUHAMEL",101437,Q36405,1929
,"JOSEPHINE","Brigantine built in Aberdeen in 1826",Q11446,"JOSEPHINE",99462,Q36405,1826
,"JOSHUA BUDGET","Steam Trawler built in Aberdeen in 1919",Q11446,"JOSHUA BUDGET",101399,Q36405,1919
,"JOYCE LLEWELLYN","Cargo built in Aberdeen in 1924",Q11446,"JOYCE LLEWELLYN",99075,Q36405,1924
,"JUAN DE LA VEGA","Brigantine built in Aberdeen in 1871",Q11446,"JUAN DE LA VEGA",100190,Q36405,1871
,"JULIA","Brigantine built in Aberdeen in 1818",Q11446,"JULIA",99432,Q36405,1818
,"JULIA","Ship built in Aberdeen in 1852",Q11446,"JULIA",100103,Q36405,1852
,"JUNELLA","Stern Trawler built in Aberdeen in 1962",Q11446,"JUNELLA",101615,Q36405,1962
,"JUNI","Trawler built in Aberdeen in 1951",Q11446,"JUNI",100653,Q36405,1951
,"JUNO","Steamer built in Aberdeen in 1851",Q11446,"JUNO",100099,Q36405,1851
,"JUNO","Brig built in Aberdeen in 1799",Q11446,"JUNO",112093,Q36405,1799
,"JUNO","Ship built in Aberdeen in 1802",Q11446,"JUNO",152169,Q36405,1802
,"JUNO","Brig built in Aberdeen in 1788",Q11446,"JUNO",182650,Q36405,1788
,"JUPITER","Trawler built in Aberdeen in 1913",Q11446,"JUPITER",101781,Q36405,1913
,"JUPITER","Brig built in Aberdeen in 1794",Q11446,"JUPITER",112083,Q36405,1794
,"JURA","Vessel, Fishery Protection built in Aberdeen in 1973",Q11446,"JURA",101673,Q36405,1973
,"KAGOSIMA","Ship built in Aberdeen in 1866",Q11446,"KAGOSIMA",100723,Q36405,1866
,"KALMIA","Ship built in Aberdeen in 1898",Q11446,"KALMIA",99643,Q36405,1898
,"KARLSEFNI","Trawler built in Aberdeen in 1947",Q11446,"KARLSEFNI",100637,Q36405,1947
,"KATE BAIRD","Steam Herring Drifter built in Aberdeen in 1908",Q11446,"KATE BAIRD",99794,Q36405,1908
,"KATHERINE","Trawler built in Aberdeen in 1898",Q11446,"KATHERINE",100293,Q36405,1898
,"KATHLEEN","Drifter built in Aberdeen in 1903",Q11446,"KATHLEEN",100323,Q36405,1903
,"KATHLEEN ANDERSON","Trawler built in Aberdeen in 1903",Q11446,"KATHLEEN ANDERSON",100321,Q36405,1903
,"KATHLEEN BURTON","Steam Trawler built in Aberdeen in 1914",Q11446,"KATHLEEN BURTON",101285,Q36405,1914
,"KEFLVIKINGUR","Trawler built in Aberdeen in 1948",Q11446,"KEFLVIKINGUR",100638,Q36405,1948
,"KELPIE","Schooner built in Aberdeen in 1855",Q11446,"KELPIE",100121,Q36405,1855
,"KELSO PATON","Trawler built in Aberdeen in 1956",Q11446,"KELSO PATON",99230,Q36405,1956
,"KER NEVEL","Steam Trawler built in Aberdeen in 1906",Q11446,"KER NEVEL",101123,Q36405,1906
,"KER-BIHAN","Steam Trawler built in Aberdeen in 1902",Q11446,"KER-BIHAN",99695,Q36405,1902
,"KERDONIS","Steam Trawler built in Aberdeen in 1912",Q11446,"KERDONIS",101238,Q36405,1912
,"KERYADO","Steam Trawler built in Aberdeen in 1908",Q11446,"KERYADO",101174,Q36405,1908
,"KILBRIDE","Patrol Gunboat built in Aberdeen in 1918",Q11446,"KILBRIDE",101380,Q36405,1918
,"KILBURN","Patrol Gunboat built in Aberdeen in 1918",Q11446,"KILBURN",101378,Q36405,1918
,"KILDRUMMY","Coaster built in Aberdeen in 1924",Q11446,"KILDRUMMY",101424,Q36405,1924
,"KIMBERLEY","Steam Drifter built in Aberdeen in 1907",Q11446,"KIMBERLEY",101152,Q36405,1907
,"KINALDIE","Steam Trawler built in Aberdeen in 1914",Q11446,"KINALDIE",101277,Q36405,1914
,"KINALDIE","Ship built in Aberdeen in 1857",Q11446,"KINALDIE",119235,Q36405,1857
,"KINBRACE","Salvage Vessel built in Aberdeen in 1945",Q11446,"KINBRACE",100619,Q36405,1945
,"KINCLAVEN","Liner built in Aberdeen in 1924",Q11446,"KINCLAVEN",99915,Q36405,1924
,"KINCORTH","Ship built in Aberdeen in 1909",Q11446,"KINCORTH",99800,Q36405,1909
,"KINELLAN","Trawler built in Aberdeen in 1961",Q11446,"KINELLAN",99292,Q36405,1961
,"KINELLAR","Trawler built in Aberdeen in 1917",Q11446,"KINELLAR",100449,Q36405,1917
,"KING SING","Steamer, Passenger, Cargo built in Aberdeen in 1895",Q11446,"KING SING",100988,Q36405,1895
,"KINGARTH","Salvage Vessel built in Aberdeen in 1944",Q11446,"KINGARTH",100614,Q36405,1944
,"KINGSDALE","Trawler built in Aberdeen in 1973",Q11446,"KINGSDALE",101749,Q36405,1973
,"KINGSNORTH FISHER","Vessel, Heavy Lift built in Aberdeen in 1966",Q11446,"KINGSNORTH FISHER",101644,Q36405,1966
,"KINLOSS","Salvage Vessel built in Aberdeen in 1945",Q11446,"KINLOSS",100620,Q36405,1945
,"KIRKELLA","Freezer Stern Trawler built in Aberdeen in 1965",Q11446,"KIRKELLA",101638,Q36405,1965
,"KITTIEWAKE","Schooner built in Aberdeen in 1856",Q11446,"KITTIEWAKE",100124,Q36405,1856
,"KITTY","Trawler built in Aberdeen in 1897",Q11446,"KITTY",100285,Q36405,1897
,"KNOCK DEEP","Barge built in Aberdeen in 1927",Q11446,"KNOCK DEEP",100521,Q36405,1927
,"KNOWSIE","Ship built in Aberdeen in 1899",Q11446,"KNOWSIE",99652,Q36405,1899
,"KOON SHING","Steamer, Passenger, Cargo built in Aberdeen in 1905",Q11446,"KOON SHING",101102,Q36405,1905
,"KOORAH","Steam Trawler built in Aberdeen in 1912",Q11446,"KOORAH",101225,Q36405,1912
,"KOSCIUSKO","Ship built in Aberdeen in 1862",Q11446,"KOSCIUSKO",99389,Q36405,1862
,"KOSMOS","Trawler built in Aberdeen in 1916",Q11446,"KOSMOS",99877,Q36405,1916
,"KUDOS","Steam Trawler built in Aberdeen in 1911",Q11446,"KUDOS",101211,Q36405,1911
,"KUMU","Trawler built in Aberdeen in 1913",Q11446,"KUMU",99851,Q36405,1913
,"KUPA","Steamer, Passenger, Cargo built in Aberdeen in 1912",Q11446,"KUPA",101231,Q36405,1912
,"KWANG TUNG","Steamer built in Aberdeen in 1868",Q11446,"KWANG TUNG",100177,Q36405,1868
,"KWANG TUNG","Steamer built in Aberdeen in 1877",Q11446,"KWANG TUNG",100883,Q36405,1877
,"LADY ALISON","Vessel, Supply built in Aberdeen in 1965",Q11446,"LADY ALISON",101641,Q36405,1965
,"LADY CATHCART","Steamer built in Aberdeen in 1882",Q11446,"LADY CATHCART",100230,Q36405,1882
,"LADY EDWINA","Oil Supply built in Aberdeen in 1966",Q11446,"LADY EDWINA",99317,Q36405,1966
,"LADY ELPHINSTONE","Schooner built in Aberdeen in 1840",Q11446,"LADY ELPHINSTONE",99326,Q36405,1840
,"LADY FRANKLIN","Brig built in Aberdeen in 1850",Q11446,"LADY FRANKLIN",99363,Q36405,1850
,"LADY HOOD MCKENZIE","Brigantine built in Aberdeen in 1816",Q11446,"LADY HOOD MCKENZIE",99936,Q36405,1816
,"LADY PARKES","Freezer Stern Trawler built in Aberdeen in 1966",Q11446,"LADY PARKES",101643,Q36405,1966
,"LADY ROSEMARY","Tug/Supply Vessel built in Aberdeen in 1974",Q11446,"LADY ROSEMARY",101674,Q36405,1974
,"LADY SALTOUN","Sloop built in Aberdeen in 1817",Q11446,"LADY SALTOUN",99941,Q36405,1817
,"LADYSMITH","Steam Trawler built in Aberdeen in 1900",Q11446,"LADYSMITH",99670,Q36405,1900
,"LADYSMITH","Ship built in Aberdeen in 1904",Q11446,"LADYSMITH",101780,Q36405,1904
,"LAFOREY","Trawler built in Aberdeen in 1949",Q11446,"LAFOREY",99195,Q36405,1949
,"LAMBETH","Collier built in Aberdeen in 1958",Q11446,"LAMBETH",101580,Q36405,1958
,"LAMMERMUIR","Trawler built in Aberdeen in 1950",Q11446,"LAMMERMUIR",99198,Q36405,1950
,"LANARKBROOK","Cargo built in Aberdeen in 1950",Q11446,"LANARKBROOK",99201,Q36405,1950
,"LANCASTERBROOK","Cargo built in Aberdeen in 1948",Q11446,"LANCASTERBROOK",99189,Q36405,1948
,"LANDFALL","Drifter built in Aberdeen in 1918",Q11446,"LANDFALL",99042,Q36405,1918
,"LANNER","Drifter built in Aberdeen in 1912",Q11446,"LANNER",99845,Q36405,1912
,"LAPWING","Trawler built in Aberdeen in 1896",Q11446,"LAPWING",100281,Q36405,1896
,"LARGES","Sloop built in Aberdeen in 1775",Q11446,"LARGES",112082,Q36405,1775
,"LARK","Sloop built in Aberdeen in 1791",Q11446,"LARK",111115,Q36405,1791
,"LARK","Brig built in Aberdeen in 1807",Q11446,"LARK",152945,Q36405,1807
,"LARUT","Steamer, Passenger, Cargo built in Aberdeen in 1927",Q11446,"LARUT",101427,Q36405,1927
,"LASHER","Steam Herring Drifter built in Aberdeen in 1919",Q11446,"LASHER",100489,Q36405,1919
,"LASS O' DOUNE","Steam Drifter built in Aberdeen in 1910",Q11446,"LASS O' DOUNE",101161,Q36405,1910
,"LATONA","Whaler built in Aberdeen in 1819",Q11446,"LATONA",100783,Q36405,1819
,"LAUREATE","Trawler built in Aberdeen in 1898",Q11446,"LAUREATE",100292,Q36405,1898
,"LAVENDER","Corvette built in Aberdeen in 1941",Q11446,"LAVENDER",100589,Q36405,1941
,"LAVINIA","Brigantine built in Aberdeen in 1818",Q11446,"LAVINIA",100680,Q36405,1818
,"LAVINIA","Brig built in Aberdeen in 1807",Q11446,"LAVINIA",182687,Q36405,1807
,"LCT 7036","Landing Craft Tank built in Aberdeen in 1944",Q11446,"LCT 7036",99155,Q36405,1944
,"LCT 7105","Landing Craft Tank built in Aberdeen in 1944",Q11446,"LCT 7105",99156,Q36405,1944
,"LCT(3) 7039","Landing Craft Tank built in Aberdeen in 1944",Q11446,"LCT(3) 7039",101509,Q36405,1944
,"LCT(3) 7040","Landing Craft Tank built in Aberdeen in 1944",Q11446,"LCT(3) 7040",101510,Q36405,1944
,"LCT(3) 7041","Landing Craft Tank built in Aberdeen in 1944",Q11446,"LCT(3) 7041",101511,Q36405,1944
,"LE CORSAIRE","Trawler built in Aberdeen in 1905",Q11446,"LE CORSAIRE",101792,Q36405,1905
,"LEANDER","Brig built in Aberdeen in 1866",Q11446,"LEANDER",118846,Q36405,1866
,"LEBANON","Liner built in Aberdeen in 1907",Q11446,"LEBANON",100354,Q36405,1907
,"LEEDS CASTLE","Vessel, Offshore Patrol built in Aberdeen in 1980",Q11446,"LEEDS CASTLE",101696,Q36405,1980
,"LEEWARD","Drifter built in Aberdeen in 1918",Q11446,"LEEWARD",99038,Q36405,1918
,"LEICESTERBROOK","Cargo built in Aberdeen in 1948",Q11446,"LEICESTERBROOK",99190,Q36405,1948
,"LEICHHARDT","Ship built in Aberdeen in 1853",Q11446,"LEICHHARDT",100107,Q36405,1853
,"LEITH N.B.","Steam Trawler built in Aberdeen in 1914",Q11446,"LEITH N.B.",101282,Q36405,1914
,"LEONOR","Steamer built in Aberdeen in 1873",Q11446,"LEONOR",100864,Q36405,1873
,"L'ESPOIR","Brig built in Aberdeen in 1773",Q11446,"L'ESPOIR",182688,Q36405,1773
,"LESTRIS","Steamer, Cargo built in Aberdeen in 1946",Q11446,"LESTRIS",101516,Q36405,1946
,"LETITIA","Cargo Liner built in Aberdeen in 1961",Q11446,"LETITIA",101606,Q36405,1961
,"LEUCADIA","Ship built in Aberdeen in 1870",Q11446,"LEUCADIA",99407,Q36405,1870
,"LEUKOS","Trawler built in Aberdeen in 1914",Q11446,"LEUKOS",99864,Q36405,1914
,"LEVANTER","Drifter built in Aberdeen in 1918",Q11446,"LEVANTER",100477,Q36405,1918
,"LIBERATOR","Ship built in Aberdeen in 1860",Q11446,"LIBERATOR",99564,Q36405,1860
,"LIBERTY","Drifter built in Aberdeen in 1903",Q11446,"LIBERTY",101819,Q36405,1903
,"LIBERTY","Ship built in Aberdeen in 1827",Q11446,"LIBERTY",136270,Q36405,1827
,"LIBERTY","Brig built in Aberdeen in 1786",Q11446,"LIBERTY",182689,Q36405,1786
,"LIGHTNING","Schooner built in Aberdeen in 1841",Q11446,"LIGHTNING",100048,Q36405,1841
,"LILLY","Steamer built in Aberdeen in 1872",Q11446,"LILLY",100196,Q36405,1872
,"LILY OF THE WEST","Screw Steam Ship built in Aberdeen in 1864",Q11446,"LILY OF THE WEST",118696,Q36405,1864
,"LINCOLNBROOK","Cargo built in Aberdeen in 1949",Q11446,"LINCOLNBROOK",99197,Q36405,1949
,"LINDENLEA","Trawler built in Aberdeen in 1960",Q11446,"LINDENLEA",99267,Q36405,1960
,"LINDISFARNE","Vessel, Offshore Patrol built in Aberdeen in 1978",Q11446,"LINDISFARNE",101686,Q36405,1978
,"LINNET","Trawler built in Aberdeen in 1896",Q11446,"LINNET",100284,Q36405,1896
,"LINWOOD","Seiner built in Aberdeen in 1980",Q11446,"LINWOOD",152943,Q36405,1980
,"LION","Ship built in Aberdeen in 1826",Q11446,"LION",100693,Q36405,1826
,"LION","Brig built in Aberdeen in 1800",Q11446,"LION",150276,Q36405,1800
,"Lion","Ship built in Aberdeen in 1800",Q11446,"Lion",152207,Q36405,1800
,"LIPPE","Steamer built in Aberdeen in 1888",Q11446,"LIPPE",100245,Q36405,1888
,"LIRANA","Motor Pair Fishing Vessel built in Aberdeen in 1931",Q11446,"LIRANA",101458,Q36405,1931
,"LISBON","Steamer, Cargo built in Aberdeen in 1920",Q11446,"LISBON",101415,Q36405,1920
,"LIVELY","Schooner built in Aberdeen in 1817",Q11446,"LIVELY",99940,Q36405,1817
,"LIVERPOOL PACKET","Schooner built in Aberdeen in 1819",Q11446,"LIVERPOOL PACKET",100817,Q36405,1819
,"LIVONIA","Drifter built in Aberdeen in 1904",Q11446,"LIVONIA",99737,Q36405,1904
,"LIZZIE","Yacht built in Aberdeen in 1881",Q11446,"LIZZIE",100226,Q36405,1881
,"LIZZIE FLETT","Drifter built in Aberdeen in 1911",Q11446,"LIZZIE FLETT",100385,Q36405,1911
,"LOBELIA","Ship built in Aberdeen in 1898",Q11446,"LOBELIA",99645,Q36405,1898
,"LOBELIA","Corvette built in Aberdeen in 1941",Q11446,"LOBELIA",100590,Q36405,1941
,"LOCH ARD","Trawler built in Aberdeen in 1931",Q11446,"LOCH ARD",99100,Q36405,1931
,"LOCH ARD","Trawler built in Aberdeen in 1912",Q11446,"LOCH ARD",99843,Q36405,1912
,"LOCH ASSATER","Trawler built in Aberdeen in 1910",Q11446,"LOCH ASSATER",99809,Q36405,1910
,"LOCH AVON","Steam Trawler built in Aberdeen in 1906",Q11446,"LOCH AVON",99721,Q36405,1906
,"LOCH AWE","Steam Trawler built in Aberdeen in 1909",Q11446,"LOCH AWE",101183,Q36405,1909
,"LOCH BROOM","Trawler built in Aberdeen in 1907",Q11446,"LOCH BROOM",100348,Q36405,1907
,"LOCH BUIE","Trawler built in Aberdeen in 1916",Q11446,"LOCH BUIE",99875,Q36405,1916
,"LOCH BULIG","Schooner built in Aberdeen in 1871",Q11446,"LOCH BULIG",136630,Q36405,1871
,"LOCH CARRON","Trawler built in Aberdeen in 1929",Q11446,"LOCH CARRON",99085,Q36405,1929
,"LOCH CARRON","Ship built in Aberdeen in 1903",Q11446,"LOCH CARRON",99701,Q36405,1903
,"LOCH CRAIG","Steam Herring Drifter built in Aberdeen in 1910",Q11446,"LOCH CRAIG",101162,Q36405,1910
,"LOCH DOON","Trawler built in Aberdeen in 1949",Q11446,"LOCH DOON",100647,Q36405,1949
,"LOCH DOON","Steam Trawler built in Aberdeen in 1907",Q11446,"LOCH DOON",101148,Q36405,1907
,"LOCH ESK","Steam Trawler built in Aberdeen in 1908",Q11446,"LOCH ESK",101172,Q36405,1908
,"LOCH EYE","Trawler built in Aberdeen in 1916",Q11446,"LOCH EYE",99878,Q36405,1916
,"LOCH GARRY","Trawler built in Aberdeen in 1903",Q11446,"LOCH GARRY",100320,Q36405,1903
,"LOCH HOURN","Trawler built in Aberdeen in 1912",Q11446,"LOCH HOURN",100396,Q36405,1912
,"LOCH INVER","Trawler built in Aberdeen in 1950",Q11446,"LOCH INVER",100645,Q36405,1950
,"LOCH KATRINE","Steam Trawler built in Aberdeen in 1900",Q11446,"LOCH KATRINE",100303,Q36405,1900
,"LOCH KILDONAN","Steam Trawler built in Aberdeen in 1907",Q11446,"LOCH KILDONAN",101150,Q36405,1907
,"LOCH LAGGAN","Trawler built in Aberdeen in 1930",Q11446,"LOCH LAGGAN",99092,Q36405,1930
,"LOCH LAGGAN","Trawler built in Aberdeen in 1903",Q11446,"LOCH LAGGAN",101793,Q36405,1903
,"LOCH LEE","Trawler built in Aberdeen in 1910",Q11446,"LOCH LEE",99810,Q36405,1910
,"LOCH LEVEN","Trawler built in Aberdeen in 1949",Q11446,"LOCH LEVEN",100646,Q36405,1949
,"LOCH LEVEN","Steam Trawler built in Aberdeen in 1901",Q11446,"LOCH LEVEN",101057,Q36405,1901
,"LOCH LOMOND","Trawler built in Aberdeen in 1898",Q11446,"LOCH LOMOND",100291,Q36405,1898
,"LOCH LOYAL","Trawler built in Aberdeen in 1907",Q11446,"LOCH LOYAL",100347,Q36405,1907
,"LOCH LYDOCH","Ship built in Aberdeen in 1903",Q11446,"LOCH LYDOCH",99699,Q36405,1903
,"LOCH LYON","Trawler built in Aberdeen in 1916",Q11446,"LOCH LYON",101779,Q36405,1916
,"LOCH MAREE","Steam Trawler built in Aberdeen in 1910",Q11446,"LOCH MAREE",101195,Q36405,1910
,"LOCH MORAR","Trawler built in Aberdeen in 1912",Q11446,"LOCH MORAR",99842,Q36405,1912
,"LOCH NAVER","Trawler built in Aberdeen in 1905",Q11446,"LOCH NAVER",100337,Q36405,1905
,"LOCH NESS","Trawler built in Aberdeen in 1901",Q11446,"LOCH NESS",100310,Q36405,1901
,"LOCH RANNOCH","Steam Trawler built in Aberdeen in 1901",Q11446,"LOCH RANNOCH",101058,Q36405,1901
,"LOCH RYAN","Steam Trawler built in Aberdeen in 1901",Q11446,"LOCH RYAN",101056,Q36405,1901
,"LOCH SHIEL","Steam Trawler built in Aberdeen in 1909",Q11446,"LOCH SHIEL",101184,Q36405,1909
,"LOCH SHIN","Trawler built in Aberdeen in 1930",Q11446,"LOCH SHIN",99093,Q36405,1930
,"LOCH STENNESS","Ship built in Aberdeen in 1902",Q11446,"LOCH STENNESS",99694,Q36405,1902
,"LOCH STROM","Steam Trawler built in Aberdeen in 1903",Q11446,"LOCH STROM",101072,Q36405,1903
,"LOCH TAY","Ship built in Aberdeen in 1903",Q11446,"LOCH TAY",99700,Q36405,1903
,"LOCH TORRIDON","Trawler built in Aberdeen in 1930",Q11446,"LOCH TORRIDON",99094,Q36405,1930
,"LOCH TORRIDON","Ship built in Aberdeen in 1903",Q11446,"LOCH TORRIDON",99698,Q36405,1903
,"LOCH TORRIDON","Trawler built in Aberdeen in 1906",Q11446,"LOCH TORRIDON",99751,Q36405,1906
,"LOCH TUMMEL","Trawler built in Aberdeen in 1912",Q11446,"LOCH TUMMEL",99841,Q36405,1912
,"LOCH WASDALE","Trawler built in Aberdeen in 1915",Q11446,"LOCH WASDALE",99873,Q36405,1915
,"LOCHBULIG","Schooner built in Aberdeen in 1871",Q11446,"LOCHBULIG",100733,Q36405,1871
,"LOCHIEL","Clipper Ship built in Aberdeen in 1856",Q11446,"LOCHIEL",110645,Q36405,1856
,"LOCHNAGAR","Trawler built in Aberdeen in 1900",Q11446,"LOCHNAGAR",100302,Q36405,1900
,"LOCHNAGAR","Trawler built in Aberdeen in 1949",Q11446,"LOCHNAGAR",100639,Q36405,1949
,"LOCH-NA-GAR","Cargo built in Aberdeen in 1872",Q11446,"LOCH-NA-GAR",99598,Q36405,1872
,"LOCHY","Frigate built in Aberdeen in 1944",Q11446,"LOCHY",101502,Q36405,1944
,"LOGIE O' BUCHAN","Schooner built in Aberdeen in 1840",Q11446,"LOGIE O' BUCHAN",100718,Q36405,1840
,"LONDON","Schooner built in Aberdeen in 1840",Q11446,"LONDON",100030,Q36405,1840
,"LONDON","Hermaphrodite built in Aberdeen in 1833",Q11446,"LONDON",100762,Q36405,1833
,"LONDON","Brig built in Aberdeen in 1803",Q11446,"LONDON",152953,Q36405,1803
,"LONDON","Brig built in Aberdeen in 1781",Q11446,"LONDON",182690,Q36405,1781
,"LONDONBROOK","Cargo built in Aberdeen in 1946",Q11446,"LONDONBROOK",99172,Q36405,1946
,"LONGSCAR","Trawler built in Aberdeen in 1930",Q11446,"LONGSCAR",99102,Q36405,1930
,"LOOSESTRIFE","Corvette built in Aberdeen in 1941",Q11446,"LOOSESTRIFE",101489,Q36405,1941
,"LORD ARCHIBALD HAMILTON","Brigantine (Snow) built in Aberdeen in 1819",Q11446,"LORD ARCHIBALD HAMILTON",100684,Q36405,1819
,"LORD CHARLES BERESFORD","Trawler built in Aberdeen in 1904",Q11446,"LORD CHARLES BERESFORD",100330,Q36405,1904
,"LORD HARDINGE","Trawler built in Aberdeen in 1916",Q11446,"LORD HARDINGE",100444,Q36405,1916
,"LORD KITCHENER","Trawler built in Aberdeen in 1899",Q11446,"LORD KITCHENER",100294,Q36405,1899
,"LORD MELVILLE","Brig built in Aberdeen in 1806",Q11446,"LORD MELVILLE",182691,Q36405,1806
,"LORD ROBERTS","Trawler built in Aberdeen in 1900",Q11446,"LORD ROBERTS",100301,Q36405,1900
,"LORD STANHOPE","Trawler built in Aberdeen in 1916",Q11446,"LORD STANHOPE",100441,Q36405,1916
,"LORD WESTERN","Barque built in Aberdeen in 1840",Q11446,"LORD WESTERN",100024,Q36405,1840
,"LORENA","Trawler built in Aberdeen in 1975",Q11446,"LORENA",101763,Q36405,1975
,"LORWOOD","Motor Trawler built in Aberdeen in 1960",Q11446,"LORWOOD",111256,Q36405,1960
,"LORWOOD","Seiner built in Aberdeen in 1979",Q11446,"LORWOOD",152942,Q36405,1979
,"LOTOS","Trawler built in Aberdeen in 1914",Q11446,"LOTOS",99866,Q36405,1914
,"LOTUS","Steamer built in Aberdeen in 1871",Q11446,"LOTUS",100855,Q36405,1871
,"LOUISA","Brig built in Aberdeen in 1816",Q11446,"LOUISA",107617,Q36405,1816
,"LOUISA","Brig built in Aberdeen in 1796",Q11446,"LOUISA",152950,Q36405,1796
,"LOUISA","Galiot built in Aberdeen in 1798",Q11446,"LOUISA",182692,Q36405,1798
,"LUFRA","Ship built in Aberdeen in 1870",Q11446,"LUFRA",100186,Q36405,1870
,"LUKE BRUCE","Barque built in Aberdeen in 1868",Q11446,"LUKE BRUCE",100842,Q36405,1868
,"LULL","Drifter built in Aberdeen in 1918",Q11446,"LULL",99040,Q36405,1918
,"LUNA","Brig built in Aberdeen in 1848",Q11446,"LUNA",99356,Q36405,1848
,"LUNAN","Trawler built in Aberdeen in 1962",Q11446,"LUNAN",99300,Q36405,1962
,"LUNAN","Brig built in Aberdeen in 1870",Q11446,"LUNAN",100732,Q36405,1870
,"LUNAN","Coaster built in Aberdeen in 1946",Q11446,"LUNAN",101520,Q36405,1946
,"LUNAR BOW","Drifter built in Aberdeen in 1918",Q11446,"LUNAR BOW",99041,Q36405,1918
,"LUNE","Ship built in Aberdeen in 1900",Q11446,"LUNE",99665,Q36405,1900
,"LUNE DEEP","Barge built in Aberdeen in 1936",Q11446,"LUNE DEEP",100576,Q36405,1936
,"LUPIN","Trawler built in Aberdeen in 1965",Q11446,"LUPIN",101635,Q36405,1965
,"LUPINA","Drifter built in Aberdeen in 1908",Q11446,"LUPINA",100360,Q36405,1908
,"LYDIA","Barque built in Aberdeen in 1873",Q11446,"LYDIA",99412,Q36405,1873
,"LYDIA","Ship built in Aberdeen in 1809",Q11446,"LYDIA",124011,Q36405,1809
,"LYDIA","Smack built in Aberdeen in 1829",Q11446,"LYDIA",136443,Q36405,1829
,"LYDIAN","Ship built in Aberdeen in 1908",Q11446,"LYDIAN",99793,Q36405,1908
,"LYNX","Ship built in Aberdeen in 1803",Q11446,"LYNX",152217,Q36405,1803
,"LYRIE","Tug, Firefighting built in Aberdeen in 1978",Q11446,"LYRIE",101689,Q36405,1978
,"M A DODDS","Trawler built in Aberdeen in 1892",Q11446,"M A DODDS",100265,Q36405,1892
,"MACDUFF","Ship built in Aberdeen in 1859",Q11446,"MACDUFF",100134,Q36405,1859
,"MADGE LLEWELLYN","Cargo built in Aberdeen in 1920",Q11446,"MADGE LLEWELLYN",99067,Q36405,1920
,"MAGGIE","Steamer built in Aberdeen in 1907",Q11446,"MAGGIE",99763,Q36405,1907
,"MAGGIE GAULT","Steam Herring Drifter built in Aberdeen in 1910",Q11446,"MAGGIE GAULT",99803,Q36405,1910
,"MAGGIE ROSS","Steam Trawler built in Aberdeen in 1901",Q11446,"MAGGIE ROSS",101055,Q36405,1901
,"MAGGIE WALKER","Trawler built in Aberdeen in 1888",Q11446,"MAGGIE WALKER",100249,Q36405,1888
